account_id,district_id,frequency,Creation_Date
144,10,Weekly,03/04/1997
145,31,Monthly,03/01/1996
146,4,Monthly,02/09/1993
148,8,Monthly,21/06/1993
149,43,Monthly,16/11/1997
150,73,Monthly,16/03/1995
151,76,Monthly,06/09/1993
152,1,Monthly,12/04/1996
153,77,Monthly,19/09/1993
154,46,Monthly,21/06/1994
155,58,Monthly,07/11/1995
156,64,Monthly,22/10/1997
157,11,Monthly,28/03/1997
158,37,Monthly,15/03/1995
159,70,Monthly,11/02/1997
160,23,Monthly,04/09/1993
161,28,Monthly,04/07/1994
162,60,Monthly,25/08/1993
163,30,Monthly,27/01/1993
164,60,Monthly,13/09/1996
165,25,Monthly,01/06/1993
166,17,Monthly,20/08/1996
167,29,Weekly,26/02/1996
168,31,Monthly,27/04/1993
169,4,Monthly,28/09/1995
170,59,Monthly,02/07/1996
171,46,Monthly,08/06/1996
172,13,Monthly,30/08/1993
173,66,Monthly,26/11/1993
174,52,Monthly,04/09/1996
176,71,Weekly,12/08/1996
177,1,Monthly,26/09/1997
178,59,Monthly,06/09/1997
179,1,Weekly,22/09/1997
180,55,Weekly,14/12/1993
181,21,Monthly,11/06/1996
182,47,Monthly,24/08/1996
183,43,Monthly,12/12/1993
184,77,Monthly,21/02/1996
185,32,Monthly,04/07/1997
186,1,Weekly,29/07/1993
187,5,Monthly,28/03/1993
188,54,Monthly,20/04/1993
189,76,Monthly,16/04/1997
190,74,Monthly,02/03/1995
191,41,Monthly,17/03/1997
192,55,Monthly,08/01/1993
193,69,Monthly,22/12/1996
194,44,Monthly,01/08/1996
195,70,Monthly,27/02/1997
196,4,Monthly,14/11/1993
197,1,Monthly,25/02/1993
198,70,Monthly,25/10/1993
199,70,Monthly,26/10/1996
200,17,Monthly,03/07/1994
201,63,Monthly,02/11/1994
204,67,Monthly,13/01/1996
205,1,Monthly,08/10/1997
206,61,Monthly,08/04/1995
207,2,Monthly,25/07/1993
208,54,Monthly,27/03/1996
209,37,Monthly,24/11/1996
210,48,Monthly,17/03/1996
211,28,Monthly,19/07/1997
212,27,Weekly,20/01/1993
213,73,Monthly,29/08/1995
214,22,Monthly,09/03/1997
215,31,Monthly,25/11/1997
216,38,Monthly,16/05/1994
217,77,Monthly,20/01/1995
218,68,Monthly,06/02/1996
219,28,Monthly,06/09/1995
220,72,Monthly,09/04/1993
221,19,Monthly,30/10/1996
222,37,Monthly,15/03/1993
223,39,Monthly,13/06/1995
224,15,Monthly,27/10/1996
225,1,Monthly,28/07/1993
226,70,Monthly,23/02/1997
227,27,Monthly,28/03/1995
228,5,Monthly,28/09/1993
229,1,Monthly,07/06/1997
230,1,Monthly,26/02/1996
231,22,Monthly,03/04/1995
232,45,Monthly,29/11/1997
234,73,Monthly,15/07/1993
235,41,Monthly,06/10/1993
236,72,Monthly,16/03/1996
237,50,Monthly,25/03/1994
238,6,Monthly,15/08/1993
239,69,Weekly,01/03/1993
240,72,Monthly,28/04/1997
241,15,Monthly,29/09/1996
242,69,Monthly,29/08/1996
243,55,Weekly,06/11/1993
244,24,Monthly,08/02/1993
245,65,Monthly,25/11/1993
246,65,Monthly,20/12/1997
248,1,Monthly,02/04/1995
249,28,Monthly,03/12/1996
250,56,Monthly,10/05/1997
251,74,Monthly,06/04/1996
252,19,Monthly,26/12/1996
253,46,Monthly,05/12/1995
255,68,Monthly,03/11/1996
256,37,Monthly,14/05/1995
257,11,Monthly,05/11/1995
258,64,Monthly,09/07/1997
259,2,Monthly,28/10/1993
260,24,Monthly,14/10/1995
261,54,Monthly,07/10/1996
262,75,Monthly,27/01/1996
263,64,Weekly,03/01/1997
264,15,Monthly,09/02/1996
265,19,Monthly,05/07/1996
266,47,Monthly,11/05/1994
267,38,Monthly,26/04/1995
268,3,Monthly,29/05/1996
269,3,Monthly,30/08/1996
270,27,Monthly,23/01/1995
271,1,Monthly,13/08/1996
272,11,Monthly,23/10/1996
273,24,"After Transaction",11/07/1993
274,76,Monthly,20/08/1993
275,29,Monthly,02/01/1996
276,38,Monthly,08/12/1997
277,32,"After Transaction",01/05/1994
278,73,Monthly,08/04/1996
279,39,Monthly,14/04/1993
280,25,Monthly,23/01/1993
281,1,Monthly,27/10/1996
282,69,Monthly,12/05/1997
283,44,Monthly,18/04/1996
284,54,Monthly,18/07/1997
285,17,Monthly,08/05/1995
286,71,Monthly,27/03/1996
287,16,Monthly,27/10/1993
288,25,Monthly,18/03/1995
289,1,Monthly,17/03/1994
290,56,Monthly,02/12/1993
291,7,Monthly,08/06/1997
292,49,Monthly,26/02/1997
293,1,Monthly,04/05/1997
294,7,Monthly,05/01/1997
295,66,Monthly,23/11/1997
296,49,Monthly,14/02/1996
297,74,Monthly,08/09/1996
298,35,Monthly,02/12/1997
299,77,Monthly,05/04/1993
300,1,Monthly,23/06/1993
301,60,Monthly,10/09/1995
302,7,Monthly,09/05/1996
303,71,Monthly,25/07/1996
304,4,Monthly,20/03/1997
305,34,Monthly,18/10/1996
306,16,Monthly,08/06/1993
307,26,Monthly,07/08/1997
308,61,Monthly,16/10/1995
309,14,Monthly,25/04/1997
311,50,Monthly,08/08/1997
312,41,Monthly,03/01/1996
313,73,Monthly,06/07/1996
314,15,"After Transaction",26/01/1996
315,45,Monthly,08/12/1997
316,62,Monthly,08/05/1997
317,76,Monthly,10/03/1993
318,36,Monthly,16/09/1994
319,47,Weekly,17/10/1995
320,47,Monthly,23/01/1997
321,47,Monthly,11/11/1993
322,1,Monthly,20/02/1993
323,52,Monthly,23/02/1997
324,1,Monthly,23/08/1996
325,75,Monthly,06/10/1996
326,61,Monthly,06/08/1997
327,54,Monthly,02/06/1993
328,1,Monthly,18/09/1997
329,3,Monthly,19/10/1996
330,42,Monthly,24/11/1996
331,65,Monthly,02/10/1995
332,36,Monthly,12/01/1996
333,73,Monthly,23/12/1996
334,1,Monthly,24/05/1993
335,74,Monthly,20/01/1996
336,62,Monthly,16/10/1995
337,17,Monthly,25/11/1995
338,49,Monthly,18/11/1995
339,46,Weekly,11/09/1996
340,1,Monthly,03/11/1993
341,28,Monthly,19/11/1996
342,64,Monthly,13/10/1996
343,18,Monthly,26/04/1994
344,54,Monthly,01/12/1993
345,5,Monthly,20/11/1993
346,37,Monthly,11/01/1993
347,65,Monthly,13/12/1993
348,25,Monthly,15/11/1995
349,72,Monthly,08/06/1997
350,47,Monthly,13/10/1996
351,50,Monthly,17/02/1997
352,39,Monthly,04/07/1994
353,24,Monthly,30/08/1995
354,59,Monthly,28/10/1993
355,62,Weekly,01/02/1996
356,70,Monthly,12/03/1996
357,20,Monthly,10/03/1996
358,12,Monthly,09/12/1993
359,11,Monthly,11/12/1994
360,32,Monthly,14/05/1996
361,51,Monthly,27/02/1993
362,15,Monthly,04/04/1993
363,1,Monthly,06/05/1994
364,1,Monthly,20/01/1997
365,74,Monthly,12/12/1993
366,1,Monthly,23/10/1996
367,23,Monthly,09/05/1997
368,77,Monthly,06/07/1993
370,25,Monthly,18/02/1994
371,12,Monthly,02/08/1996
372,55,Monthly,10/09/1995
373,67,Monthly,20/06/1996
374,38,Monthly,09/01/1993
375,68,Monthly,07/06/1996
376,25,Monthly,05/03/1995
377,70,Monthly,19/08/1994
378,68,Monthly,22/07/1996
379,32,Monthly,18/05/1996
381,68,Monthly,04/07/1993
382,14,Monthly,16/08/1996
383,38,Monthly,15/05/1997
384,24,Weekly,14/09/1997
385,5,Monthly,07/04/1993
386,1,Monthly,11/08/1997
387,72,Monthly,19/09/1997
388,59,Monthly,11/02/1995
389,30,Monthly,28/08/1993
390,44,Monthly,16/02/1996
391,36,Monthly,11/12/1993
392,1,Monthly,14/07/1996
393,46,Monthly,04/02/1995
395,1,Monthly,12/03/1993
396,21,Monthly,08/03/1993
397,11,Monthly,26/10/1993
398,69,Monthly,24/10/1997
399,1,Monthly,27/08/1996
400,28,Monthly,17/07/1993
401,32,Monthly,18/01/1993
402,68,Monthly,14/09/1997
403,1,Monthly,29/07/1993
404,41,Monthly,28/04/1995
405,55,Monthly,13/03/1997
406,63,Monthly,03/09/1996
407,72,Weekly,18/04/1997
408,41,Monthly,21/07/1993
409,1,Monthly,11/06/1996
410,49,Monthly,15/10/1996
411,70,Monthly,05/02/1993
412,74,Monthly,21/01/1996
413,18,Monthly,09/07/1996
414,1,Monthly,29/01/1996
415,25,Monthly,03/03/1993
416,6,Monthly,11/08/1996
417,73,Monthly,27/01/1996
418,36,Monthly,27/08/1995
419,13,Monthly,25/10/1993
420,75,Monthly,26/08/1995
421,75,Monthly,27/11/1997
422,53,Weekly,29/08/1994
423,12,Monthly,28/03/1993
424,12,Monthly,17/02/1997
425,9,Monthly,19/03/1993
426,1,Monthly,29/11/1993
427,8,Monthly,24/07/1994
428,1,Monthly,27/02/1993
429,63,Monthly,03/09/1995
430,54,Monthly,02/09/1995
431,18,Monthly,05/11/1996
432,46,Monthly,16/06/1993
433,20,Monthly,12/06/1993
434,1,Monthly,24/12/1996
435,38,Monthly,08/01/1993
436,30,Monthly,07/08/1996
437,43,Monthly,03/12/1993
438,37,Monthly,23/06/1997
439,69,Monthly,15/04/1996
440,29,Monthly,22/12/1996
441,27,Weekly,17/12/1993
442,54,Monthly,30/03/1997
443,64,Monthly,28/01/1993
444,26,Monthly,09/05/1996
445,63,Weekly,29/07/1993
446,50,Monthly,15/06/1993
447,5,Monthly,14/08/1996
449,19,Monthly,22/11/1994
450,59,Monthly,28/05/1996
451,11,Monthly,05/05/1994
452,63,Monthly,29/11/1995
453,75,Monthly,24/04/1997
454,7,Monthly,07/05/1995
455,54,Monthly,23/04/1995
456,49,Monthly,21/01/1993
458,7,Monthly,16/06/1995
459,47,Monthly,21/01/1993
460,1,Monthly,18/04/1994
461,30,Monthly,18/02/1993
462,29,Monthly,10/11/1993
463,51,Monthly,08/05/1995
464,43,Monthly,28/05/1997
465,32,Monthly,04/02/1993
466,71,Monthly,18/02/1996
467,74,Monthly,24/09/1993
468,49,Monthly,19/03/1996
469,72,Monthly,14/07/1997
470,64,Monthly,23/03/1994
471,47,Monthly,07/06/1995
472,8,Monthly,11/10/1996
473,73,Monthly,20/10/1996
474,61,Monthly,06/12/1995
475,3,Monthly,11/05/1997
476,69,Monthly,11/04/1997
477,1,Monthly,25/01/1993
478,58,Monthly,16/07/1994
479,1,Monthly,05/11/1995
480,23,Monthly,21/01/1997
481,72,Monthly,23/04/1996
483,70,Monthly,15/07/1997
484,1,Monthly,20/01/1995
485,6,"After Transaction",04/01/1993
486,33,Monthly,21/11/1995
487,40,Monthly,14/11/1995
488,25,Monthly,20/06/1996
489,16,Monthly,17/05/1993
490,45,Monthly,23/05/1995
491,44,Monthly,12/05/1996
492,5,Monthly,10/10/1993
493,26,Monthly,05/04/1994
494,60,Monthly,11/03/1993
496,69,Monthly,26/02/1993
497,55,Monthly,15/04/1993
498,1,Monthly,21/11/1993
500,56,Monthly,27/04/1996
501,13,Monthly,21/10/1995
502,1,Monthly,13/10/1997
503,1,Monthly,08/08/1996
504,73,Monthly,21/04/1993
505,64,Monthly,16/12/1996
506,67,Monthly,08/07/1996
507,52,Monthly,17/06/1996
508,74,Monthly,19/11/1996
509,36,Monthly,14/08/1997
510,1,Weekly,02/06/1993
511,14,Monthly,10/11/1996
512,68,Monthly,14/01/1997
513,58,Monthly,21/11/1996
514,70,Monthly,30/03/1996
515,57,Monthly,09/02/1995
516,6,Monthly,08/02/1996
517,76,Monthly,22/09/1993
518,74,Monthly,09/09/1994
519,24,Monthly,12/11/1993
520,60,Monthly,04/11/1993
521,9,Monthly,08/10/1995
522,17,Monthly,20/12/1995
523,1,Monthly,11/08/1993
524,61,Monthly,03/05/1994
525,70,Monthly,20/03/1996
526,67,Monthly,16/07/1996
528,17,Monthly,30/12/1996
529,39,Monthly,18/08/1997
530,54,Monthly,19/11/1996
531,31,Monthly,18/08/1995
532,26,Monthly,02/09/1995
533,40,Monthly,07/05/1995
534,1,Monthly,26/05/1997
535,35,Monthly,24/05/1994
536,14,Monthly,13/10/1996
537,34,Monthly,08/01/1997
538,70,Monthly,07/06/1994
539,13,"After Transaction",16/02/1993
540,75,Monthly,16/10/1993
541,61,Monthly,12/08/1993
542,1,Monthly,01/11/1993
543,64,Monthly,03/05/1994
544,32,Monthly,15/05/1995
545,54,Monthly,24/11/1993
546,8,Monthly,23/11/1996
547,24,Monthly,27/07/1997
548,16,Monthly,07/06/1994
549,5,Monthly,27/11/1996
550,24,Monthly,17/10/1997
551,77,Monthly,07/05/1993
552,14,Monthly,20/08/1993
553,26,Monthly,06/06/1995
554,26,Monthly,26/01/1996
555,24,Monthly,15/05/1993
556,12,Monthly,26/06/1997
557,1,Monthly,26/11/1995
558,10,Monthly,15/06/1996
559,46,Monthly,05/03/1993
560,36,Monthly,20/08/1995
561,11,Monthly,12/12/1996
562,50,Monthly,25/02/1993
563,53,Monthly,27/07/1993
564,5,Monthly,23/12/1997
565,39,Monthly,25/11/1995
566,8,Monthly,13/11/1997
567,15,Monthly,19/06/1996
568,18,Monthly,28/03/1995
569,76,Monthly,01/10/1996
570,3,Monthly,14/11/1996
571,72,Monthly,16/07/1996
572,32,Monthly,27/03/1994
573,1,Weekly,11/07/1996
574,70,Monthly,30/07/1993
575,38,Monthly,26/04/1994
576,55,Monthly,01/01/1993
577,29,Monthly,20/09/1994
578,28,Weekly,21/03/1997
579,1,Monthly,16/12/1997
580,75,Monthly,20/05/1996
581,26,Monthly,13/10/1996
582,12,Monthly,05/08/1994
584,31,Monthly,14/07/1996
585,4,Monthly,04/09/1997
586,54,Monthly,16/03/1995
587,19,Monthly,21/06/1996
588,66,Monthly,14/03/1993
589,1,Monthly,26/04/1997
590,50,Monthly,24/02/1996
591,1,Monthly,12/08/1997
592,23,Monthly,27/12/1996
593,48,Monthly,16/07/1996
594,54,Monthly,09/12/1994
595,20,Monthly,21/12/1996
596,31,Monthly,13/10/1994
597,41,Monthly,05/12/1993
598,1,Monthly,08/02/1997
599,54,Monthly,04/12/1996
600,46,Monthly,13/03/1997
601,29,Monthly,04/08/1993
602,43,Monthly,27/10/1995
603,62,Monthly,11/06/1996
604,12,Monthly,26/11/1993
605,65,Monthly,04/02/1997
606,75,Monthly,04/11/1997
607,16,Monthly,17/02/1995
608,32,Monthly,27/03/1995
609,63,Monthly,15/05/1994
610,74,Monthly,11/08/1994
611,46,Monthly,21/07/1997
612,1,Monthly,27/05/1996
613,74,"After Transaction",10/08/1996
614,25,Monthly,07/06/1997
615,72,Monthly,09/04/1996
616,43,Monthly,14/10/1993
617,74,Monthly,23/08/1996
618,1,Monthly,02/10/1996
619,1,Weekly,09/09/1995
620,26,Monthly,18/02/1996
621,52,Monthly,01/06/1996
622,24,Monthly,22/06/1997
623,1,Monthly,24/03/1993
624,70,Monthly,11/10/1993
625,70,Monthly,12/07/1995
626,72,Monthly,11/11/1993
627,63,Monthly,05/02/1993
628,72,Monthly,03/01/1994
629,31,Monthly,25/07/1994
630,71,Monthly,29/06/1993
631,68,Monthly,25/03/1996
632,29,Monthly,14/05/1996
633,57,Monthly,06/12/1995
635,21,Monthly,21/08/1994
636,75,Monthly,24/04/1997
637,49,Monthly,27/08/1996
638,65,Monthly,28/06/1995
639,1,Monthly,03/11/1997
640,32,Monthly,02/06/1993
641,40,Monthly,22/06/1997
643,64,Monthly,28/10/1997
644,4,Monthly,06/11/1997
645,70,Monthly,21/08/1997
646,51,Monthly,06/01/1996
647,1,Monthly,28/04/1997
648,13,Monthly,09/11/1993
649,69,Weekly,17/05/1994
650,3,Monthly,28/01/1995
651,72,Monthly,28/11/1993
652,21,Monthly,05/01/1993
653,27,Monthly,19/08/1997
654,63,Monthly,16/10/1994
655,53,Monthly,24/03/1993
656,3,Monthly,18/08/1996
657,47,Monthly,08/08/1993
658,4,Monthly,10/01/1996
659,63,Monthly,14/12/1996
660,68,Monthly,20/01/1996
662,21,Monthly,18/07/1994
664,1,Monthly,08/12/1996
665,8,Monthly,03/09/1995
666,27,Monthly,15/03/1996
669,35,Monthly,07/06/1996
671,60,Monthly,29/10/1997
672,53,Monthly,23/06/1997
673,31,Monthly,08/12/1997
674,49,Monthly,02/09/1995
675,58,Monthly,03/08/1995
676,39,Monthly,22/09/1995
677,70,Monthly,13/09/1997
678,17,Monthly,08/10/1993
679,22,Monthly,12/07/1997
680,17,Monthly,18/07/1997
682,54,Monthly,08/06/1997
683,74,Monthly,22/07/1996
684,49,Monthly,12/05/1996
685,37,Weekly,04/01/1995
686,41,Monthly,04/04/1993
687,27,Monthly,02/06/1996
688,74,Monthly,25/11/1993
689,1,Monthly,24/04/1996
690,10,Monthly,11/07/1996
691,24,Monthly,21/02/1996
692,69,Monthly,02/10/1996
693,2,Monthly,06/06/1994
694,67,Monthly,04/09/1996
695,5,Monthly,21/04/1996
696,54,Monthly,09/11/1997
697,28,Monthly,23/02/1993
698,71,Monthly,29/09/1996
699,1,Monthly,17/09/1993
700,20,Monthly,01/06/1994
701,69,Monthly,08/06/1993
702,12,Monthly,23/06/1993
703,54,Monthly,21/12/1997
704,55,Monthly,01/01/1993
705,35,Monthly,14/07/1997
706,49,Monthly,07/05/1996
708,26,Monthly,30/03/1996
709,19,Monthly,25/07/1994
710,25,Monthly,02/09/1994
711,70,Monthly,06/07/1994
712,72,Monthly,01/12/1996
713,58,Monthly,15/10/1996
714,23,Monthly,04/11/1996
715,32,Monthly,08/08/1996
716,47,Monthly,25/09/1994
717,75,Monthly,24/04/1993
718,1,Monthly,03/03/1996
719,30,Monthly,21/12/1993
720,54,Monthly,20/07/1995
721,76,Monthly,29/08/1993
722,38,"After Transaction",04/05/1997
725,70,Monthly,08/07/1996
726,76,Monthly,03/02/1994
727,35,Monthly,25/12/1997
728,60,Monthly,28/11/1995
729,14,Monthly,15/02/1997
730,4,Monthly,28/08/1993
731,5,Monthly,11/07/1995
732,38,Monthly,07/06/1996
733,49,Weekly,17/05/1995
734,5,Monthly,08/04/1996
735,70,Monthly,17/09/1997
736,75,Monthly,07/12/1997
737,34,Monthly,08/12/1993
738,34,Monthly,21/06/1993
739,66,Monthly,18/03/1996
740,28,Monthly,04/04/1994
741,54,Monthly,14/07/1994
742,77,Monthly,28/01/1994
743,10,Monthly,05/11/1993
744,42,Monthly,06/03/1993
745,43,Monthly,09/10/1997
746,75,Monthly,10/05/1995
747,39,Monthly,09/08/1993
748,10,Monthly,08/04/1993
749,38,Monthly,23/03/1997
750,73,Monthly,12/09/1993
751,3,Monthly,12/05/1993
752,23,Monthly,10/01/1997
753,31,Monthly,14/08/1996
754,1,Monthly,08/06/1995
755,38,Monthly,27/09/1997
756,65,Monthly,13/01/1995
757,50,Monthly,19/07/1993
758,51,Monthly,19/12/1997
759,23,Monthly,01/08/1993
760,1,Monthly,24/05/1997
761,43,Monthly,09/04/1994
762,76,Monthly,18/10/1995
763,1,Monthly,23/02/1995
764,1,Monthly,08/01/1993
765,12,Monthly,20/12/1996
766,3,Monthly,21/04/1996
767,25,Monthly,26/03/1995
768,26,Monthly,03/07/1997
770,7,Monthly,24/09/1996
771,22,Monthly,22/01/1996
772,45,Monthly,21/01/1993
773,15,Monthly,19/06/1993
774,1,Monthly,08/06/1993
775,1,Monthly,18/12/1994
776,66,Monthly,18/05/1996
777,30,Monthly,28/12/1997
778,68,Monthly,26/10/1996
779,16,Monthly,13/08/1996
780,3,Monthly,26/04/1996
781,33,Monthly,19/02/1995
782,42,Monthly,30/10/1997
783,1,Monthly,08/09/1997
784,59,Monthly,19/04/1994
785,21,Weekly,09/08/1997
786,53,Monthly,12/08/1995
787,10,Monthly,14/11/1993
788,12,Monthly,25/06/1996
789,39,Monthly,06/02/1995
790,54,Monthly,11/05/1993
791,49,Monthly,14/12/1995
792,3,Monthly,13/08/1997
793,47,Monthly,03/01/1993
794,63,Monthly,24/04/1997
795,25,Monthly,27/01/1995
796,1,Monthly,13/02/1997
797,57,Monthly,20/11/1996
798,1,Monthly,22/04/1996
799,56,Monthly,10/10/1993
800,11,Monthly,06/12/1997
801,16,Monthly,23/07/1997
802,15,Monthly,20/12/1994
803,19,Monthly,09/09/1995
804,64,Monthly,06/02/1996
805,10,Monthly,02/12/1996
806,13,Monthly,29/10/1996
807,76,Weekly,13/06/1995
808,69,Monthly,13/06/1995
809,36,Monthly,20/12/1995
810,46,Monthly,11/11/1995
811,14,Weekly,01/08/1997
812,1,Monthly,30/08/1996
813,16,Monthly,10/02/1993
814,76,Monthly,06/10/1996
815,56,Monthly,25/08/1993
816,52,Monthly,05/08/1993
817,5,Monthly,18/03/1994
819,20,Monthly,22/04/1995
820,74,Monthly,04/11/1995
821,60,Monthly,16/03/1996
822,40,Monthly,04/10/1996
823,71,Monthly,19/09/1997
824,32,Monthly,21/03/1996
825,19,Monthly,06/03/1996
826,44,Monthly,05/10/1996
827,36,Monthly,23/02/1996
828,1,Monthly,12/02/1997
829,59,Monthly,10/11/1996
830,74,Monthly,08/02/1993
831,44,Monthly,18/09/1996
832,42,Monthly,24/05/1996
833,31,Monthly,29/08/1996
834,3,Monthly,23/05/1997
836,46,Monthly,28/07/1996
837,46,Monthly,18/09/1993
838,47,Monthly,23/10/1993
839,16,Monthly,17/01/1995
840,70,Monthly,12/03/1996
841,1,Monthly,04/11/1993
842,62,Monthly,07/04/1995
843,6,Monthly,09/04/1997
844,53,Monthly,28/04/1994
845,14,Monthly,27/12/1997
846,72,Monthly,09/03/1996
847,2,Monthly,21/07/1996
848,31,Monthly,16/06/1996
849,1,Monthly,01/01/1996
850,25,Monthly,07/03/1997
851,15,Monthly,23/09/1994
852,57,Monthly,23/10/1997
853,1,Monthly,20/03/1996
854,62,Monthly,21/09/1993
855,1,Monthly,28/03/1994
856,2,Monthly,03/03/1996
857,77,Monthly,16/09/1993
858,52,Monthly,13/07/1996
859,13,Monthly,26/08/1997
860,1,Monthly,19/03/1993
861,22,Monthly,13/09/1993
862,64,Weekly,02/02/1993
863,71,Monthly,16/05/1993
864,72,Monthly,08/07/1997
865,17,Monthly,18/03/1996
866,9,Monthly,10/01/1993
867,60,Monthly,09/11/1997
868,1,Monthly,26/05/1997
869,16,Monthly,15/07/1996
870,70,Monthly,27/03/1995
871,1,Monthly,02/09/1996
872,27,Monthly,18/01/1997
873,73,Monthly,26/04/1997
874,56,Weekly,23/03/1996
875,63,Monthly,17/05/1995
876,4,Monthly,26/10/1997
877,1,Monthly,29/05/1996
878,52,Monthly,29/06/1996
879,9,Monthly,04/06/1997
880,26,Monthly,08/12/1996
882,9,Monthly,06/03/1993
883,1,Monthly,17/12/1993
884,2,Monthly,07/12/1993
885,1,Monthly,25/06/1993
886,1,Monthly,23/06/1993
887,1,Monthly,05/05/1993
888,54,Monthly,28/10/1996
889,43,Monthly,22/12/1997
890,14,Monthly,05/02/1993
891,34,Monthly,23/05/1996
892,70,Monthly,20/03/1993
893,53,Monthly,12/04/1995
894,46,Monthly,27/08/1995
895,24,Monthly,12/03/1996
896,3,Monthly,11/06/1995
897,38,Monthly,26/04/1993
898,71,Monthly,27/03/1996
899,72,Monthly,21/06/1993
900,48,Monthly,26/04/1994
901,60,Monthly,10/07/1994
902,74,Monthly,29/06/1993
903,47,Monthly,10/12/1993
904,1,Monthly,20/03/1994
905,35,Monthly,11/12/1996
906,59,Monthly,27/12/1997
907,41,Monthly,09/07/1993
908,62,Monthly,29/04/1994
909,30,Monthly,02/09/1997
910,1,Monthly,03/02/1997
911,60,Monthly,12/08/1996
912,65,Monthly,27/04/1997
